# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IGUJSSFLNL,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,14,33
# x,y,z,u,w
1.165998816279845363e+00, 7.839999999999995861e-01, 2.804583226322527323e-01, 1.199999999999999956e+00, 2.041733119767888294e+00
1.447898550932836592e+00, 7.839999999999996971e-01, 7.120893394126319720e-01, 1.199999999999999956e+00, 2.095955830069344827e+00
2.041490887322403136e+00, 7.839999999999995861e-01, 1.137139668311788032e+00, 1.199999999999999956e+00, 2.172260364380927733e+00
2.973576777738954569e+00, 7.839999999999996971e-01, 1.499175870601376026e+00, 1.199999999999999956e+00, 2.276535875536843889e+00
4.266235090855805545e+00, 7.839999999999996971e-01, 1.737078093684786939e+00, 1.199999999999999956e+00, 2.413466350417201589e+00
5.903028682299070518e+00, 7.839999999999998082e-01, 1.830878716952143659e+00, 1.199999999999999956e+00, 2.584161237591246607e+00
7.818940116015117958e+00, 7.839999999999996971e-01, 1.787233025215700932e+00, 1.199999999999999956e+00, 2.783663390284290440e+00
9.890311790171027795e+00, 7.839999999999996971e-01, 1.617992326428437266e+00, 1.199999999999999956e+00, 3.000000000000000000e+00
1.195289709993221194e+01, 7.839999999999998082e-01, 1.362459660239852877e+00, 1.199999999999999956e+00, 3.216336609715709116e+00
1.384734241320940562e+01, 7.839999999999994751e-01, 1.071480631911073012e+00, 1.199999999999999956e+00, 3.415838762408752949e+00
1.546274162673053709e+01, 7.839999999999998082e-01, 7.889747137077142147e-01, 1.199999999999999956e+00, 3.586533649582798411e+00
1.675497280950039425e+01, 7.839999999999995861e-01, 5.424517177137104795e-01, 1.199999999999999956e+00, 3.723464124463156111e+00
