,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
633,6801.854010673445,10972.8,1398006.8922637145,84026.5218950816,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.26931892588603806,0.012303718687376848,37644.93762605428,37644.93762605428,0.6879221555397884,True,1.6694367891093226e-05,0.0,0.0,sizing:main_route:cruise
634,6861.854010673445,10972.8,1411821.8298336961,83988.81438880361,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.26919806708027544,0.012298608774587128,37629.3031375609,37629.3031375609,0.6876364514928867,True,1.6694732230005206e-05,0.0,0.0,sizing:main_route:cruise
635,6921.854010673445,10972.8,1425636.7674036778,83951.12172041062,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.26907725583239284,0.012293503614470052,37613.68319053013,37613.68319053013,0.6873510131761185,True,1.6695097626480347e-05,0.0,0.0,sizing:main_route:cruise
636,6981.854010673445,10972.8,1439451.7049736595,83913.44387363318,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.268956492090244,0.012288403201586362,37598.077768319796,37598.077768319796,0.6870658402853653,True,1.6695464077011966e-05,0.0,0.0,sizing:main_route:cruise
637,7041.854010673445,10972.8,1453266.6425436412,83875.78083222844,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.268835775801768,0.012283307530506398,37582.48685431711,37582.48685431711,0.686780932517046,True,1.6695831578102248e-05,0.0,0.0,sizing:main_route:cruise
638,7101.854010673445,10972.8,1467081.5801136228,83838.13257998008,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2687151069149887,0.012278216595810073,37566.91043193856,37566.91043193856,0.6864962895681137,True,1.6696200126262225e-05,0.0,0.0,sizing:main_route:cruise
639,7161.854010673445,10972.8,1480896.5176836045,83800.49910069826,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.268594485378015,0.012273130392086863,37551.34848462989,37551.34848462989,0.6862119111360568,True,1.669656971801175e-05,0.0,0.0,sizing:main_route:cruise
640,7221.854010673445,10972.8,1494711.4552535862,83762.88037821952,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.26847391113904046,0.012268048913935773,37535.80099586601,37535.80099586601,0.6859277969188964,True,1.6696940349879477e-05,0.0,0.0,sizing:main_route:cruise
641,7281.854010673445,10972.8,1508526.3928235678,83725.27639640674,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2683533841463428,0.012262972155965312,37520.267949150904,37520.267949150904,0.6856439466151849,True,1.669731201840283e-05,0.0,0.0,sizing:main_route:cruise
642,7341.854010673445,10972.8,1522341.3303935495,83687.68713914909,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.26823290434828423,0.012257900112793487,37504.749328017606,37504.749328017606,0.6853603599240056,True,1.669768472012798e-05,0.0,0.0,sizing:main_route:cruise
