,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name
38,585.9499999999812,75.41114515391519,423.9472592261828,88111.07786978439,79.54706894668355,79.2593976814894,0.23395804357663977,1,0.7914723010323239,0.056915900023679605,,62136.8276474654,192531.67062282495,1.0,False,1.2455571053475023e-05,0.15090694460370768,0.0,0.0,,sizing:main_route:initial_climb
39,586.1499999999812,77.8028841949456,439.6758647422465,88110.5982514037,79.55621782129481,79.2593976814894,0.23399127458426067,1,0.7914679927810507,0.05691530795933081,,62136.18127271984,192491.08876766497,1.0,False,1.2456119270324976e-05,0.15086154815855649,0.0,0.0,,sizing:main_route:initial_climb
40,586.3499999999813,80.19418420751721,455.40638781082407,88110.11871301167,79.56536656290824,79.2593976814894,0.2340245060067346,1,0.7914636852482895,0.05691471599788474,,62135.5350103163,192450.52064347657,1.0,False,1.2456667369588585e-05,0.15081616684338392,0.0,0.0,,sizing:main_route:initial_climb
41,586.5499999999813,82.58504525649333,471.1388283619938,88109.63925458753,79.5745151712653,79.2593976814894,0.23405773784300432,1,0.7914593784338528,0.05691412413931357,,62134.88886022443,192409.96624280163,1.0,False,1.2457215351291544e-05,0.15077080064999987,0.0,0.0,,sizing:main_route:initial_climb
42,586.7499999999814,84.97546740669104,486.87318632581054,88109.15987611048,79.58366364610731,79.2593976814894,0.23409097009201182,1,0.7914550723375541,0.05691353238358957,,62134.24282241397,192369.42555818954,1.0,False,1.2457763215459535e-05,0.15072544957022238,0.0,0.0,,sizing:main_route:initial_climb
43,586.9499999999814,87.36545072288122,502.60946163230557,88108.68057755979,79.59281198717542,79.2593976814894,0.23412420275269866,1,0.791450766959207,0.05691294073068506,,62133.596896854695,192328.89858219653,1.0,False,1.2458310962118222e-05,0.15068011359587719,0.0,0.0,,sizing:main_route:initial_climb
44,587.1499999999814,89.75499526978865,518.3476542114864,88108.20135891468,79.60196019421068,79.2593976814894,0.23415743582400564,1,0.7914464622986247,0.056912349180572294,,62132.95108351633,192288.38530738608,1.0,False,1.2458858591293253e-05,0.150634792718798,0.0,0.0,,sizing:main_route:initial_climb
45,587.3499999999815,92.14410111209205,534.0877639933368,88107.72222015442,79.61110826695395,79.2593976814894,0.2341906693048732,1,0.7914421583556217,0.056911757733223683,,62132.30538236869,192247.88572632862,1.0,False,1.245940610301026e-05,0.1505894869308263,0.0,0.0,,sizing:main_route:initial_climb
46,587.5499999999815,94.53276831442412,549.8297909078168,88107.24316125827,79.620256205146,79.2593976814894,0.23422390319424105,1,0.791437855130011,0.056911166388611475,,62131.65979338156,192207.39983160194,1.0,False,1.2459953497294855e-05,0.1505441962238117,0.0,0.0,,sizing:main_route:initial_climb
47,587.7499999999816,96.92099694137167,565.5737348848626,88106.76418220553,79.62940400852747,79.2593976814894,0.2342571374910484,1,0.7914335526216072,0.05691057514670808,,62131.01431652474,192166.9276157906,1.0,False,1.2460500774172647e-05,0.1504989205896113,0.0,0.0,,sizing:main_route:initial_climb
48,587.9499999999816,99.30878705747561,581.3195958543863,88106.28528297547,79.63855167683882,79.2593976814894,0.2342903721942338,1,0.7914292508302236,0.056909984007485814,,62130.36895176807,192126.46907148664,1.0,False,1.246104793366922e-05,0.1504536600200906,0.0,0.0,,sizing:main_route:initial_climb
49,588.1499999999817,101.69613872723106,597.0673737462763,88105.80646354739,79.6476992098204,79.2593976814894,0.23432360730273535,1,0.7914249497556745,0.056909392970917044,,62129.72369908136,192086.0241912889,1.0,False,1.2461594975810144e-05,0.15040841450712256,0.0,0.0,,sizing:main_route:initial_climb
50,588.3499999999817,104.08305201508738,612.8170684903969,88105.32772390058,79.65684660721246,79.2593976814894,0.2343568428154906,1,0.7914206493977738,0.05690880203697414,,62129.07855843444,192045.59296780327,1.0,False,1.2462141900620977e-05,0.1503631840425881,0.0,0.0,,sizing:main_route:initial_climb
51,588.5499999999818,106.46952698544825,628.5686800165881,88104.84906401439,79.66599386875498,79.2593976814894,0.23439007873143616,1,0.791416349756336,0.05690821120562955,,62128.433529797236,192005.17539364303,1.0,False,1.2462688708127258e-05,0.15031796861837612,0.0,0.0,,sizing:main_route:initial_climb
52,588.7499999999818,108.85556370267177,644.3222082546662,88104.37048386813,79.67514099418798,79.2593976814894,0.2344233150495087,1,0.7914120508311755,0.05690762047685568,,62127.78861313961,191964.7714614281,1.0,False,1.246323539835451e-05,0.15027276822638305,0.0,0.0,,sizing:main_route:initial_climb
53,588.9499999999819,111.24116223107043,660.0776531344229,88103.89198344115,79.68428798325127,79.2593976814894,0.23445655176864375,1,0.7914077526221063,0.0569070298506249,,62127.143808431436,191924.38116378576,1.0,False,1.246378197132825e-05,0.1502275828585134,0.0,0.0,,sizing:main_route:initial_climb
